scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Contopus virens,Eastern Wood-Pewee,Eastern Wood-Pewee,Contopus virens,NA,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,4610,Eastern Wood-Pewee,Passeriformes,Tyrannidae,Contopus virens,yes,Eastern Wood-Pewee,Contopus virens,breeds eastern North America; winters to northern Bolivia and western Brazil,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Contopus virens,Eastern Wood-Pewee,CONUS & Canada,Passeriformes,Tyrannidae,7/11/2022,yes
Conuropsis carolinensis,Carolina Parakeet,Carolina Parakeet,Conuropsis carolinensis,Rare/Accidental Extinct,PSITTACIFORMES,Psittacidae,hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Carolina Parakeet,Conuropsis carolinensis,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Conuropsis carolinensis,Carolina Parakeet,CONUS & Canada,Psittaciformes,Psittacidae,8/30/2024-9/4/2024,yes
Coragyps atratus,Black Vulture,Black Vulture,Coragyps atratus,NA,CATHARTIFORMES,Cathartidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,3260,Black Vulture,Cathartiformes,Cathartidae,Coragyps atratus,yes,Black Vulture,Coragyps atratus,NA,Cathartidae (New World Vultures),Cathartiformes,yes,Coragyps atratus,Black Vulture,CONUS & Canada,Cathartiformes,Cathartidae,4/16/2019; checked 9/22/2022 - 9/26/2022,yes
Corthylio calendula,Ruby-crowned Kinglet,Ruby-crowned Kinglet,Corthylio calendula,NA,PASSERIFORMES,Regulidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7490,Ruby-crowned Kinglet,Passeriformes,Regulidae,Corthylio calendula,yes,Ruby-crowned Kinglet,Corthylio calendula,NA,Regulidae (Kinglets),Passeriformes,yes,Corthylio calendula,Ruby-crowned Kinglet,CONUS & Canada,Passeriformes,Regulidae,8/26/2022,yes
Corvus brachyrhynchos,American Crow,American Crow,Corvus brachyrhynchos,NA,PASSERIFORMES,Corvidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,4880,American Crow,Passeriformes,Corvidae,Corvus brachyrhynchos,yes,American Crow,Corvus brachyrhynchos,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus brachyrhynchos,American Crow,CONUS & Canada,Passeriformes,Corvidae,9/26/2022,yes
Corvus brachyrhynchos/ossifragus,American/Fish Crow; unid. American Crow/Fish Crow,NA,NA,NA,NA,NA,NA,no,4881,unid. American Crow / Fish Crow,Passeriformes,Corvidae,Corvus brachyrhynchos / ossifragus,yes,American/Fish Crow,Corvus brachyrhynchos/ossifragus,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus brachyrhynchos / ossifragus,unid. American Crow / Fish Crow,CONUS & Canada,Passeriformes,Corvidae,N/A; unidentified species,yes
Corvus corax,Common Raven; Northern Raven,Common Raven,Corvus corax,NA,PASSERIFORMES,Corvidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; US48; USak; UShi,yes,4860,Common Raven,Passeriformes,Corvidae,Corvus corax,yes,Common Raven,Corvus corax,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus corax,Common Raven; Northern Raven,CONUS & Canada,Passeriformes,Corvidae,7/28/2022,yes
Corvus cornix,Hooded Crow,Hooded Crow,Corvus cornix,Uncertain origin,PASSERIFORMES,Corvidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Hooded Crow,Corvus cornix,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Corvus cryptoleucus,Chihuahuan Raven,Chihuahuan Raven,Corvus cryptoleucus,NA,PASSERIFORMES,Corvidae,CA; CAM; hol; NAM; nea; US48,yes,4870,Chihuahuan Raven,Passeriformes,Corvidae,Corvus cryptoleucus,yes,Chihuahuan Raven,Corvus cryptoleucus,arid southwestern USA to central Mexico,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus cryptoleucus,Chihuahuan Raven,CONUS & Canada,Passeriformes,Corvidae,2/20/2023-2/22/2023,yes
Corvus imparatus,Tamaulipas Crow,Tamaulipas Crow,Corvus imparatus,Rare/Accidental,PASSERIFORMES,Corvidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Tamaulipas Crow,Corvus imparatus,southern Texas (lower Río Grande Valley) to southeastern Mexico (northern Veracruz),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus imparatus,Tamaulipas Crow,CONUS & Canada,Passeriformes,Corvidae,9/4/2024,yes
Corvus ossifragus,Fish Crow,Fish Crow,Corvus ossifragus,NA,PASSERIFORMES,Corvidae,CA; CAR; hol; NAM; nea; US48,yes,4900,Fish Crow,Passeriformes,Corvidae,Corvus ossifragus,yes,Fish Crow,Corvus ossifragus,eastern USA (New England to eastern Texas),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus ossifragus,Fish Crow,CONUS & Canada,Passeriformes,Corvidae,4/4/2019; checked 7/26/2022,yes
Corvus splendens,House Crow,House Crow,Corvus splendens,Introduced species,PASSERIFORMES,Corvidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nan; nea; OCE; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,House Crow,Corvus splendens,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Coturnicops noveboracensis,Yellow Rail,Yellow Rail,Coturnicops noveboracensis,NA,GRUIFORMES,Rallidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,2150,Yellow Rail,Gruiformes,Rallidae,Coturnicops noveboracensis,yes,Yellow Rail,Coturnicops noveboracensis,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Coturnicops noveboracensis,Yellow Rail,CONUS & Canada,Gruiformes,Rallidae,11/14/2023,yes
Creagrus furcatus,Swallow-tailed Gull,Swallow-tailed Gull,Creagrus furcatus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAM; hol; NAM; nea; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Swallow-tailed Gull,Creagrus furcatus,Galapagos; winters coastal Colombia to Chile,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Crex crex,Corn Crake,Corn Crake,Crex crex,Rare/Accidental,GRUIFORMES,Rallidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Corn Crake,Crex crex,Palearctic; winters Mediterranean to Africa and Madagascar,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,NA,NA,NA,NA,NA,NA,no
Crithagra mozambica,Yellow-fronted Canary,Yellow-fronted Canary,Crithagra mozambica,Introduced species,PASSERIFORMES,Fringillidae,AFR; ASI; hol; NAM; nea; OCE; PAC; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-fronted Canary,Crithagra mozambica,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Crotophaga ani,Smooth-billed Ani,Smooth-billed Ani,Crotophaga ani,NA,CUCULIFORMES,Cuculidae,CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,3830,Smooth-billed Ani,Cuculiformes,Cuculidae,Crotophaga ani,yes,Smooth-billed Ani,Crotophaga ani,"West Indies, southeastern Mexico (Quintana Roo) and Costa Rica southward to western Ecuador and northern Argentina, also Galapagos (introduced); formerly southeastern USA (Florida, where now rare)",Cuculidae (Cuckoos),Cuculiformes,yes,Crotophaga ani,Smooth-billed Ani,CONUS & Canada,Cuculiformes,Cuculidae,12/14/2022,yes
Crotophaga sulcirostris,Groove-billed Ani,Groove-billed Ani,Crotophaga sulcirostris,NA,CUCULIFORMES,Cuculidae,CA; CAM; hol; NAM; nan; nea; SAM; US48,yes,3840,Groove-billed Ani,Cuculiformes,Cuculidae,Crotophaga sulcirostris,yes,Groove-billed Ani,Crotophaga sulcirostris,southern Baja California; southern Texas through Central and South America (including Curaçao and Trinidad) to northern Chile and northern Argentina,Cuculidae (Cuckoos),Cuculiformes,yes,Crotophaga sulcirostris,Groove-billed Ani,CONUS & Canada,Cuculiformes,Cuculidae,12/14/2022,yes
Cuculus canorus,Common Cuckoo,Common Cuckoo,Cuculus canorus,Rare/Accidental,CUCULIFORMES,Cuculidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Common Cuckoo,Cuculus canorus,NA,Cuculidae (Cuckoos),Cuculiformes,yes,Cuculus canorus,Common Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,11/27/2023-12/11/2023,yes
Cuculus optatus,Oriental Cuckoo,Oriental Cuckoo,Cuculus optatus,Rare/Accidental,CUCULIFORMES,Cuculidae,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,Oriental Cuckoo,Cuculus optatus,"breeds western Russia and Kazakhstan through northeastern Russia to Japan; winters southeastern Asia, Indonesian Archipelago, and Philippines to northern and eastern Australia, New Guinea and satellite islands, Bismarck Archipelago, and Solomon Islands",Cuculidae (Cuckoos),Cuculiformes,yes,Cuculus optatus,Oriental Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,2/5/2024 - 2/12/2024,yes
Curruca curruca,Lesser Whitethroat,Lesser Whitethroat,Curruca curruca,Rare/Accidental,PASSERIFORMES,Sylviidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Lesser Whitethroat,Curruca curruca,NA,Sylviidae (Sylviid Warblers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Cyanerpes cyaneus,Red-legged Honeycreeper,Red-legged Honeycreeper,Cyanerpes cyaneus,Rare/Accidental,PASSERIFORMES,Thraupidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Red-legged Honeycreeper,Cyanerpes cyaneus,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Cyanerpes cyaneus,Red-legged Honeycreeper,Mexico,Passeriformes,Thraupidae,09/18/2024,yes
Cyanocitta cristata,Blue Jay,Blue Jay,Cyanocitta cristata,NA,PASSERIFORMES,Corvidae,CA; CAM; CAR; hol; NAM; nea; pal; US48,yes,4770,Blue Jay,Passeriformes,Corvidae,Cyanocitta cristata,yes,Blue Jay,Cyanocitta cristata,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Cyanocitta cristata,Blue Jay,CONUS & Canada,Passeriformes,Corvidae,7/20/2022,yes
Cyanocitta stelleri,Steller's Jay,Steller's Jay,Cyanocitta stelleri,NA,PASSERIFORMES,Corvidae,CA; CAM; hol; NAM; nea; US48; USak,yes,4780,Steller's Jay,Passeriformes,Corvidae,Cyanocitta stelleri,yes,Steller's Jay,Cyanocitta stelleri,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Cyanocitta stelleri,Steller's Jay,CONUS & Canada,Passeriformes,Corvidae,7/20/2022,yes
Cyanocompsa parellina,Blue Bunting,Blue Bunting,Cyanocompsa parellina,Rare/Accidental,PASSERIFORMES,Cardinalidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Blue Bunting,Cyanocompsa parellina,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Cyanocompsa parellina,Blue Bunting,Mexico,Passeriformes,Cardinalidae,09/16/24,yes
Cyanocorax colliei; Calocitta colliei,Black-throated Magpie-Jay,Black-throated Magpie-Jay,Cyanocorax colliei,Introduced species,PASSERIFORMES,Corvidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-throated Magpie-Jay,Cyanocorax colliei,Pacific slope of northwestern Mexico (southeastern Sonora to Jalisco and Colima),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Calocitta colliei,Black-throated Magpie-Jay,Mexico,Passeriformes,Corvidae,NA,yes
Cyanocorax yncas,Green Jay,Green Jay,Cyanocorax yncas,NA,PASSERIFORMES,Corvidae,CAM; hol; NAM; nea; SAM; US48,yes,4830,Green Jay,Passeriformes,Corvidae,Cyanocorax yncas,yes,Green Jay,Cyanocorax yncas,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Cyanocorax yncas,Green Jay,CONUS & Canada,Passeriformes,Corvidae,2/17/2023,yes
Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,Cygnus buccinator,NA,ANSERIFORMES,Anatidae,ASI; CA; CAM; hol; NAM; nea; pal; US48; USak,yes,1810,Trumpeter Swan,Anseriformes,Anatidae,Cygnus buccinator,yes,Trumpeter Swan,Cygnus buccinator,North America from western and central Alaska eastward through east-central Canada and southward through western and central USA; some southward movement in winter; early extirpations and subsequent reintroductions cloud distributional knowledge,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Cygnus buccinator,Trumpeter Swan,CONUS & Canada,Anseriformes,Anatidae,11/9/2023,yes
Cygnus columbianus,Tundra Swan,Tundra Swan,Cygnus columbianus,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1800,Tundra Swan,Anseriformes,Anatidae,Cygnus columbianus,yes,Tundra Swan,Cygnus columbianus,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Cygnus columbianus,Tundra Swan,CONUS & Canada,Anseriformes,Anatidae,9/21/2023,yes
Cygnus cygnus,Whooper Swan,Whooper Swan,Cygnus cygnus,Rare/Accidental,ANSERIFORMES,Anatidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Whooper Swan,Cygnus cygnus,Palearctic; winters to central Asia and southeastern China,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Cygnus cygnus,Whooper Swan,Europe & Asia,Anseriformes,Anatidae,3/18/2024,yes
Cygnus olor,Mute Swan,Mute Swan,Cygnus olor,Introduced species,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48,yes,1782,Mute Swan,Anseriformes,Anatidae,Cygnus olor,yes,Mute Swan,Cygnus olor,"west-central to east-central Palearctic region from central Europe to southeastern China; introduced widely including to western and southwestern Europe, Japan, and eastern North America","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Cygnus olor,Mute Swan,CONUS & Canada,Anseriformes,Anatidae,9/12/2023-9/15/2023,yes
Cynanthus latirostris,Broad-billed Hummingbird,Broad-billed Hummingbird,Cynanthus latirostris,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48,yes,4410,Broad-billed Hummingbird,Apodiformes,Trochilidae,Cynanthus latirostris,yes,Broad-billed Hummingbird,Cynanthus latirostris,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Cynanthus latirostris,Broad-billed Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes
Cypseloides niger,Black Swift,Black Swift,Cypseloides niger,Vulnerable,APODIFORMES,Apodidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48; USak,yes,4220,Black Swift,Apodiformes,Apodidae,Cypseloides niger,yes,Black Swift,Cypseloides niger,NA,Apodidae (Swifts),Apodiformes,yes,Cypseloides niger,Black Swift,CONUS & Canada,Apodiformes,Apodidae,12/14/2022,yes
Cyrtonyx montezumae,Montezuma Quail,Montezuma Quail,Cyrtonyx montezumae,NA,GALLIFORMES,Odontophoridae,CAM; hol; NAM; nea; US48,yes,2960,Montezuma Quail,Galliformes,Odontophoridae,Cyrtonyx montezumae,yes,Montezuma Quail,Cyrtonyx montezumae,NA,Odontophoridae (New World Quail),Galliformes,yes,Cyrtonyx montezumae,Montezuma Quail,CONUS & Canada,Galliformes,Odontophoridae,12/6/2022,yes
Daptrius chimachima,Yellow-headed Caracara,Yellow-headed Caracara,Daptrius chimachima,Uncertain origin,FALCONIFORMES,Falconidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Yellow-headed Caracara,Daptrius chimachima,NA,Falconidae (Falcons and Caracaras),Falconiformes,yes,NA,NA,NA,NA,NA,NA,no
Delichon lagopodum,Siberian House-Martin,Siberian House-Martin,Delichon lagopodum,Rare/Accidental,PASSERIFORMES,Hirundinidae,ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Siberian House-Martin,Delichon lagopodum,Siberia to Mongolia and Manchuria; winters to southern China and Thailand,Hirundinidae (Swallows),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Delichon urbicum,Western House-Martin,Western House-Martin,Delichon urbicum,Rare/Accidental,PASSERIFORMES,Hirundinidae,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal; XX,yes,NA,NA,NA,NA,NA,no,Western House-Martin,Delichon urbicum,NA,Hirundinidae (Swallows),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Dendragapus fuliginosus,Sooty Grouse,Sooty Grouse,Dendragapus fuliginosus,NA,GALLIFORMES,Phasianidae,CA; hol; NAM; nea; US48; USak,yes,2971,Sooty Grouse,Galliformes,Phasianidae,Dendragapus fuliginosus,yes,Sooty Grouse,Dendragapus fuliginosus,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Dendragapus fuliginosus,Sooty Grouse,CONUS & Canada,Galliformes,Phasianidae,9/25/2023,yes
Dendragapus obscurus,Dusky Grouse; Blue Grouse,Dusky Grouse,Dendragapus obscurus,NA,GALLIFORMES,Phasianidae,CA; hol; NAM; nea; US48,yes,2970,Dusky Grouse,Galliformes,Phasianidae,Dendragapus obscurus,yes,Dusky Grouse,Dendragapus obscurus,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Dendragapus obscurus,Blue Grouse; Dusky Grouse,CONUS & Canada,Galliformes,Phasianidae,9/23/22,yes
Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse; unid. Dusky Grouse/Sooty Grouse,NA,NA,NA,NA,NA,NA,no,2973,unid. Dusky Grouse / Sooty Grouse,Galliformes,Phasianidae,Dendragapus obscurus / fuliginosus,yes,Dusky/Sooty Grouse,Dendragapus obscurus/fuliginosus,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Dendragapus obscurus / fuliginosus,unid. Dusky Grouse / Sooty Grouse,CONUS & Canada,Galliformes,Phasianidae,N/A; unidentified species,yes
Dendrocopos major,Great Spotted Woodpecker,Great Spotted Woodpecker,Dendrocopos major,Rare/Accidental,PICIFORMES,Picidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Great Spotted Woodpecker,Dendrocopos major,NA,Picidae (Woodpeckers),Piciformes,yes,NA,NA,NA,NA,NA,NA,no
Dendrocygna arborea,West Indian Whistling-Duck,West Indian Whistling-Duck,Dendrocygna arborea,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,West Indian Whistling-Duck,Dendrocygna arborea,"Bahamas, Greater Antilles, and northern Lesser Antilles","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,Dendrocygna autumnalis,NA,ANSERIFORMES,Anatidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; UShi,yes,1770,Black-bellied Whistling-Duck,Anseriformes,Anatidae,Dendrocygna autumnalis,yes,Black-bellied Whistling-Duck,Dendrocygna autumnalis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Dendrocygna autumnalis,Black-bellied Whistling-Duck,CONUS & Canada,Anseriformes,Anatidae,11/22/2022,yes
Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; UShi; XX,yes,1780,Fulvous Whistling-Duck,Anseriformes,Anatidae,Dendrocygna bicolor,yes,Fulvous Whistling-Duck,Dendrocygna bicolor,"eastern Africa, Madagascar, and southern Asia; disjunctly southern USA to Argentina","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Dendrocygna bicolor,Fulvous Whistling-Duck,CONUS & Canada,Anseriformes,Anatidae,11/22/2022,yes
Diomedea antipodensis,Antipodean Albatross,Antipodean Albatross,Diomedea antipodensis,Rare/Accidental Endangered,PROCELLARIIFORMES,Diomedeidae,AUS; hol; NAM; nea; OCE; opa; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Antipodean Albatross,Diomedea antipodensis,NA,Diomedeidae (Albatrosses),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Diomedea exulans,Snowy Albatross,Snowy Albatross,Diomedea exulans,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Diomedeidae,AFR; ASI; AUS; CAM; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Snowy Albatross,Diomedea exulans,southern oceans in South Georgia area,Diomedeidae (Albatrosses),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no
Dolichonyx oryzivorus,Bobolink,Bobolink,Dolichonyx oryzivorus,NA,PASSERIFORMES,Icteridae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,4940,Bobolink,Passeriformes,Icteridae,Dolichonyx oryzivorus,yes,Bobolink,Dolichonyx oryzivorus,grassland and meadows of North America; winters to southern South America,Icteridae (Troupials and Allies),Passeriformes,yes,Dolichonyx oryzivorus,Bobolink,CONUS & Canada,Passeriformes,Icteridae,3/13/2023,yes
Dryobates albolarvatus,White-headed Woodpecker,White-headed Woodpecker,Dryobates albolarvatus,NA,PICIFORMES,Picidae,CA; hol; NAM; nea; US48,yes,3990,White-headed Woodpecker,Piciformes,Picidae,Dryobates albolarvatus,yes,White-headed Woodpecker,Dryobates albolarvatus,NA,Picidae (Woodpeckers),Piciformes,yes,Dryobates albolarvatus,White-headed Woodpecker,CONUS & Canada,Piciformes,Picidae,4/9/2019; 3/16/2022,yes
Dryobates arizonae,Arizona Woodpecker,Arizona Woodpecker,Dryobates arizonae,NA,PICIFORMES,Picidae,CAM; hol; NAM; nea; US48,yes,3975,Arizona Woodpecker,Piciformes,Picidae,Dryobates arizonae,yes,Arizona Woodpecker,Dryobates arizonae,NA,Picidae (Woodpeckers),Piciformes,yes,Dryobates arizonae,Arizona Woodpecker,CONUS & Canada,Piciformes,Picidae,2/2/2022,yes
Dryobates borealis,Red-cockaded Woodpecker,Red-cockaded Woodpecker,Dryobates borealis,Endemic Near-threatened,PICIFORMES,Picidae,hol; NAM; nea; US48,yes,3950,Red-cockaded Woodpecker,Piciformes,Picidae,Dryobates borealis,yes,Red-cockaded Woodpecker,Dryobates borealis,patchily distributed in pine forest of southeastern USA,Picidae (Woodpeckers),Piciformes,yes,Dryobates borealis,Red-cockaded Woodpecker,CONUS & Canada,Piciformes,Picidae,3/10/2022; 3/16/2022,yes
Dryobates nuttallii,Nuttall's Woodpecker,Nuttall's Woodpecker,Dryobates nuttallii,NA,PICIFORMES,Picidae,CAM; hol; NAM; nea; US48,yes,3970,Nuttall's Woodpecker,Piciformes,Picidae,Dryobates nuttallii,yes,Nuttall's Woodpecker,Dryobates nuttallii,chaparral and oak woodland of northern California to northwestern Baja,Picidae (Woodpeckers),Piciformes,yes,Dryobates nuttallii,Nuttall's Woodpecker,CONUS & Canada,Piciformes,Picidae,2/3/2022,yes
Dryobates pubescens,Downy Woodpecker,Downy Woodpecker,Dryobates pubescens,NA,PICIFORMES,Picidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3940,Downy Woodpecker,Piciformes,Picidae,Dryobates pubescens,yes,Downy Woodpecker,Dryobates pubescens,NA,Picidae (Woodpeckers),Piciformes,yes,Dryobates pubescens,Downy Woodpecker,CONUS & Canada,Piciformes,Picidae,2/3/2022,yes
Dryobates scalaris,Ladder-backed Woodpecker,Ladder-backed Woodpecker,Dryobates scalaris,NA,PICIFORMES,Picidae,CAM; hol; NAM; nea; US48,yes,3960,Ladder-backed Woodpecker,Piciformes,Picidae,Dryobates scalaris,yes,Ladder-backed Woodpecker,Dryobates scalaris,NA,Picidae (Woodpeckers),Piciformes,yes,Dryobates scalaris,Ladder-backed Woodpecker,CONUS & Canada,Piciformes,Picidae,2/2/2022,yes
Dryobates villosus,Hairy Woodpecker,Hairy Woodpecker,Dryobates villosus,NA,PICIFORMES,Picidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3930,Hairy Woodpecker,Piciformes,Picidae,Dryobates villosus,yes,Hairy Woodpecker,Dryobates villosus,NA,Picidae (Woodpeckers),Piciformes,yes,Dryobates villosus,Hairy Woodpecker,CONUS & Canada,Piciformes,Picidae,2/3/2022,yes
